PROP_ID,location,AREA,PRICE,BEDROOM_NUM,MIN_AREA_SQFT,MAX_AREA_SQFT,AMENITIES,AGE,FLOOR_NUM,TOTAL_FLOOR,BALCONY_NUM,TOTAL_LANDMARK_COUNT,REGISTERED_DAYS,PROPERTY_TYPE,FURNISH,FACING,VERIFIED,LAT,LNG
Z70135726,unknown,unknown,6925000.0,2.0,1215.0,1215.0,,0.0,2.0,5.0,1.0,9.0,30.0,flat,semi-furnished,west,0,17.575957,78.471167
O68605880,unknown,unknown,9000000.0,3.0,1658.0,1658.0,,12.0,9.0,30.0,3.0,17.0,60.0,flat,furnished,east,0,17.4664197,78.285342
J70589382,unknown,unknown,55000000.0,3.0,3609.0,3609.0,,20.0,0.0,1.0,1.0,15.0,21.0,villa,semi-furnished,west,0,17.43411,78.202315
L70486922,unknown,unknown,6000000.0,2.0,1190.0,1190.0,,2.5,4.0,4.0,2.0,50.0,21.0,flat,furnished,unknown,1,17.330779,78.547919
L67639676,unknown,unknown,4500000.0,2.0,565.0,565.0,,7.5,1.0,2.0,1.0,49.0,30.0,house,furnished,south,0,17.4044157,78.5105026
O70292194,unknown,unknown,5750000.0,2.0,1205.0,1205.0,,0.0,4.0,5.0,1.0,9.0,30.0,flat,semi-furnished,east,0,17.442022,78.650225
H68852068,unknown,unknown,10500000.0,2.0,1685.0,1685.0,,2.5,2.0,5.0,3.0,37.0,90.0,flat,semi-furnished,east,1,17.388287,78.370072
L70154648,unknown,unknown,21100000.0,2.0,1746.0,1746.0,,7.5,0.0,1.0,0.0,50.0,30.0,villa,unfurnished,north,1,17.43604,78.5746
I70486924,unknown,unknown,49000000.0,7.0,2403.0,2403.0,,0.0,2.0,3.0,4.0,46.0,21.0,villa,furnished,west,1,17.4769491,78.5598292
C69164030,chandanagar,chandanagar,8200000.0,3.0,1325.0,1325.0,,7.5,3.0,4.0,2.0,47.0,90.0,flat,semi-furnished,east,0,17.49182,78.32617
X67304012,kondapur,kondapur,13600000.000000002,2.0,1433.0,1433.0,,12.0,13.0,22.0,2.0,15.0,28.0,flat,unfurnished,east,0,17.4838748,78.3078633
Y68733022,ramachandrapuram,ramachandrapuram,33000000.0,2.0,2034.0,2034.0,,7.5,0.0,,0.0,43.0,90.0,villa,unfurnished,unknown,0,17.519291,78.306542
X70195614,unknown,unknown,55000000.0,5.0,4000.0,4000.0,,7.5,2.0,3.0,2.0,47.0,21.0,villa,semi-furnished,north,1,17.491639,78.55049
A70165738,vasanthapuri colony,vasanthapuri colony,14500000.0,2.0,1764.0,1764.0,,7.5,0.0,1.0,0.0,50.0,30.0,villa,semi-furnished,south,1,17.4472745,78.5413355
X70527162,unknown,unknown,52000000.0,6.0,2250.0,2250.0,,0.0,1.0,2.0,1.0,50.0,21.0,villa,furnished,unknown,0,17.3761525,78.5462098
B69752348,saidabad,saidabad,9450000.0,3.0,1536.0,1536.0,,2.5,4.0,5.0,2.0,0.0,30.0,house,semi-furnished,north,1,,
E70251248,unknown,unknown,12000000.0,3.0,1770.0,1770.0,,0.0,3.0,5.0,2.0,17.0,30.0,flat,unfurnished,unknown,1,17.391267,78.355303
K69001786,unknown,unknown,31800000.0,2.0,2862.0,2862.0,,7.5,0.0,1.0,0.0,49.0,90.0,villa,semi-furnished,south,1,17.3447337,78.5182911
T69020844,unknown,unknown,23500000.0,10.0,1800.0,1800.0,,2.5,1.0,2.0,2.0,17.0,90.0,villa,semi-furnished,unknown,1,17.311940823733476,78.47302608769566
U70253934,unknown,unknown,7400000.0,2.0,1312.0,1312.0,,20.0,3.0,5.0,1.0,0.0,28.0,flat,semi-furnished,west,1,,
P69087720,gowlidoddy,gowlidoddy,7000000.0,2.0,1200.0,1200.0,,0.0,2.0,5.0,2.0,29.0,30.0,flat,semi-furnished,east,1,17.427296,78.325424
P70032258,unknown,unknown,22000000.0,3.0,1600.0,1600.0,,20.0,1.0,2.0,2.0,15.0,30.0,villa,semi-furnished,east,0,17.178249,78.481973
E69040910,haripuri colony,haripuri colony,10000000.0,3.0,1652.0,1652.0,,12.0,2.0,2.0,0.0,48.0,90.0,flat,semi-furnished,unknown,0,17.361493,78.550751
D70845120,unknown,unknown,6000000.0,3.0,1765.0,1765.0,,7.5,4.0,5.0,1.0,33.0,,flat,semi-furnished,north,0,17.349841,78.419243
F70104886,unknown,unknown,6400000.0,2.0,1150.0,1150.0,,2.5,4.0,4.0,1.0,50.0,30.0,flat,semi-furnished,unknown,1,17.509181,78.3521088
R70782184,unknown,unknown,17000000.0,3.0,2270.0,2270.0,,0.0,5.0,5.0,2.0,50.0,7.0,flat,furnished,east,0,17.4011618,78.37569
X68240850,vikarabad,vikarabad,6200000.0,2.0,1647.0,1647.0,,20.0,1.0,2.0,2.0,49.0,60.0,villa,semi-furnished,east,0,17.33671,77.9044
T70704020,unknown,unknown,28000000.0,3.0,2400.0,2400.0,,7.5,1.0,2.0,1.0,50.0,,villa,semi-furnished,north-east,1,17.516967,78.379773
C69255432,bhel,bhel,30000000.0,3.0,2700.0,2700.0,,7.5,0.0,1.0,1.0,50.0,5.0,villa,semi-furnished,unknown,1,17.495438,78.2960172
H66055656,unknown,unknown,7000000.0,3.0,1530.0,1530.0,,12.0,3.0,4.0,2.0,3.0,14.0,flat,semi-furnished,north-east,0,17.20869,78.47603
T67560280,unknown,unknown,8800000.0,2.0,1134.0,1134.0,,7.5,0.0,1.0,0.0,50.0,30.0,villa,semi-furnished,unknown,1,17.324113,78.5519
O69826972,manikonda,manikonda,7500000.0,3.0,1475.0,1475.0,,7.5,1.0,4.0,2.0,50.0,60.0,flat,semi-furnished,north,1,17.4011618,78.37569
E69511338,unknown,unknown,8500000.0,6.0,567.0,567.0,,7.5,2.0,3.0,2.0,50.0,60.0,villa,semi-furnished,unknown,1,17.42761,78.5054
S69137150,unknown,unknown,75000000.0,4.0,4500.0,4500.0,,7.5,2.0,3.0,3.0,50.0,60.0,villa,furnished,east,1,17.4760126,78.4737003
X68950712,unknown,unknown,35000000.0,5.0,1980.0,1980.0,,2.5,1.0,2.0,1.0,47.0,90.0,villa,unfurnished,unknown,0,17.48718,78.5786
W68358280,unknown,unknown,16900000.0,3.0,2600.0,2600.0,,12.0,12.0,40.0,1.0,25.0,120.0,flat,semi-furnished,unknown,0,17.3923634,78.3621784
T69412044,unknown,unknown,20000000.0,3.0,2200.0,2200.0,,20.0,2.0,4.0,4.0,50.0,60.0,flat,semi-furnished,north-east,0,17.374194,78.553525
E59935034,unknown,unknown,17500000.0,4.0,1215.0,1215.0,,0.0,1.0,2.0,2.0,47.0,30.0,villa,semi-furnished,west,1,17.49479,78.39964
M69038394,unknown,unknown,35000000.0,5.0,2700.0,2700.0,,20.0,0.0,1.0,4.0,46.0,7.0,villa,unfurnished,unknown,1,17.4876857,78.5483395
F69495770,osman nagar,osman nagar,22500000.0,3.0,2350.0,2350.0,,2.5,0.0,1.0,3.0,1.0,30.0,flat,furnished,unknown,1,17.442791,78.278282
M64851662,bandlaguda jagir,bandlaguda jagir,9792000.0,2.0,1440.0,1440.0,,12.0,8.0,15.0,1.0,11.0,120.0,flat,semi-furnished,east,0,17.311940823733476,78.47302608769566
C68497634,gowdavalli,gowdavalli,33000000.0,4.0,4310.0,4310.0,,12.0,0.0,1.0,3.0,6.0,120.0,villa,unfurnished,east,0,17.611834,78.465146
U69981340,unknown,unknown,7000000.0,3.0,1475.0,1475.0,,7.5,2.0,4.0,2.0,50.0,30.0,flat,furnished,unknown,1,17.5139295,78.3850518
Q59657036,unknown,unknown,7000000.0,2.0,1160.0,1160.0,,20.0,3.0,5.0,2.0,8.0,30.0,flat,semi-furnished,east,1,17.5468498,78.3650231
C70888390,unknown,unknown,13500000.0,3.0,1611.0,1611.0,,7.5,1.0,2.0,1.0,50.0,5.0,villa,unfurnished,unknown,0,17.4930942,78.5036065
Y68428578,aminpur,aminpur,6700000.0,3.0,1039.0,1039.0,,12.0,4.0,13.0,1.0,50.0,7.0,flat,unfurnished,east,0,17.517266,78.315699
S67613742,unknown,unknown,17800000.0,3.0,1923.0,1923.0,,7.5,7.0,30.0,1.0,50.0,14.0,flat,furnished,unknown,1,17.408229,78.374398
D70454790,sanath nagar,sanath nagar,16000000.0,3.0,1645.0,1645.0,,7.5,3.0,5.0,2.0,50.0,5.0,flat,furnished,north-east,0,17.456088,78.435077
Q69645956,lecturers colony,lecturers colony,15000000.0,2.0,1440.0,1440.0,,12.0,1.0,2.0,1.0,50.0,14.0,villa,semi-furnished,unknown,0,17.333085,78.59372
G68700538,unknown,unknown,12500000.0,3.0,1600.0,1600.0,,20.0,1.0,5.0,2.0,8.0,120.0,flat,semi-furnished,east,1,17.3697735,78.5618265
Z67081250,unknown,unknown,17500000.0,3.0,2700.0,2700.0,,12.0,2.0,3.0,1.0,1.0,180.0,villa,semi-furnished,east,0,17.41821,78.29459
Z69064706,unknown,unknown,15500000.0,4.0,1350.0,1350.0,,12.0,1.0,2.0,1.0,6.0,60.0,villa,semi-furnished,east,0,17.529701,78.333031
T69224052,unknown,unknown,21000000.0,3.0,1993.0,1993.0,,0.0,9.0,35.0,1.0,10.0,90.0,flat,furnished,east,0,17.41341,78.339447
Y63791854,unknown,unknown,40000000.0,4.0,9360.0,9360.0,,0.0,1.0,2.0,2.0,0.0,60.0,house,semi-furnished,east,0,17.3423568,78.3011735
N69115044,unknown,unknown,15000000.0,2.0,1125.0,1125.0,,7.5,0.0,1.0,2.0,49.0,90.0,villa,semi-furnished,east,1,17.49565,78.466262
