BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,TARGET_PRICE_SQFT,FLOOR_RATIO_WAS_MISSING,BALCONY_NUM_WAS_MISSING,BEDROOM_NUM_CLEAN_WAS_MISSING,TOTAL_FLOOR_WAS_MISSING
2.0,5.0,7,7,9.0,0.4,1.0,1215.0,17.575957,78.471167,30.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,West,Under_Construction,Medium,1,: ,5700.0,0,0,0,0
3.0,30.0,13,13,17.0,0.3,3.0,1658.0,17.4664197,78.285342,60.0,0,1,0,1,0,0,1,0,0,Apartment,Furnished,East,Resale_Old,Medium,3+,: ,5428.0,0,0,0,0
3.0,1.0,12,13,15.0,0.5384615384615384,1.0,3609.0,17.43411,78.202315,21.0,1,0,1,1,0,0,1,0,0,Villa,Semi_Furnished,West,Resale_Very_Old,XL,1,: ,115960.0,1,0,0,0
2.0,4.0,1,0,50.0,1.0,2.0,1190.0,17.330779,78.547919,21.0,1,0,0,1,0,1,1,1,0,Apartment,Furnished,Unknown,0_5_yrs,Small,2,: ,5042.0,0,0,0,0
2.0,2.0,5,5,49.0,0.5,1.0,565.0,17.4044157,78.5105026,30.0,1,0,0,1,0,0,0,0,0,Builder_Floor,Furnished,South,5_10_yrs,Micro,1,: ,7964.0,0,0,0,0
2.0,5.0,6,6,9.0,0.8,1.0,1205.0,17.442022,78.650225,30.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,East,Under_Construction,Medium,1,: ,4771.0,0,0,0,0
2.0,5.0,10,10,37.0,0.4,3.0,1685.0,17.388287,78.370072,90.0,1,0,0,1,0,1,1,0,0,Apartment,Semi_Furnished,East,0_5_yrs,Medium,3+,: ,6528.0,0,0,0,0
2.0,1.0,4,4,50.0,0.5384615384615384,0.0,1746.0,17.43604,78.5746,30.0,1,0,0,1,0,1,0,0,0,Villa,Unfurnished,North,5_10_yrs,Medium,Unknown,: ,109000.0,1,0,0,0
7.0,3.0,2,3,46.0,0.5384615384615384,4.0,2403.0,17.4769491,78.5598292,21.0,1,0,0,1,0,1,0,0,0,Villa,Furnished,West,Under_Construction,Large,3+,: ,183520.0,1,0,0,0
3.0,4.0,1,2,47.0,0.75,2.0,1325.0,17.49182,78.32617,90.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,East,5_10_yrs,Medium,2,Chandanagar,6188.0,0,0,0,0
