BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LOCALITY_MEDIAN_PRICE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,TRANSACT_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,SPID,PROP_ID,TARGET_PRICE_SQFT,LOG_PRICE_SQFT,PRICE_INR,AREA_SQFT,LOCALITY,PROP_TYPE_CLEAN,PRICE_PER_BED,LISTING_AGE_DAYS,LOCALITY_MEDIAN_PRICE
2.0,5.0,7,7,9.0,0.4,1.0,1215.0,17.575957,78.471167,8000.0,30.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,West,Under_Construction,Sale,Medium,1,: ,70135726,Z70135726,5700.0,8.648396877031582,6925000.0,1215.0,: ,Apartment,3462500.0,30.0,8000.0
2.0,20.0,0,0,50.0,0.05,,1275.0,17.522103,78.384846,8000.0,120.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,68489968,A68489968,6000.0,8.699681400989514,7650000.0,1275.0,: ,Apartment,3825000.0,120.0,8000.0
3.0,20.0,0,0,11.0,0.05,,2015.0,17.41977,78.34969,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,69555352,P69555352,20049.0,9.905984432734716,20200000.0,2015.0,: ,Apartment,6733333.333333333,60.0,8000.0
3.0,0.0,0,0,8.0,,,2940.0,17.513816,78.244055,8000.0,30.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70237806,B70237806,8999.0,9.104979856318357,26450000.0,2940.0,: ,Villa,8816666.666666666,30.0,8000.0
4.0,45.0,0,0,13.0,0.022222222222222223,,6015.0,17.42107,78.38372,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,XXL,None,: ,69662330,Z69662330,14000.0,9.546884034617925,84200000.0,6015.0,: ,Apartment,21050000.0,60.0,8000.0
3.0,30.0,0,0,9.0,0.03333333333333333,,1750.0,17.49148,78.34096,8000.0,14.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,70679968,S70679968,7800.0,8.962007209588313,13650000.0,1750.0,: ,Apartment,4550000.0,14.0,8000.0
,0.0,0,0,5.0,,,5701.5,17.388172,78.181228,8000.0,30.0,1,0,0,0,1,0,1,0,0,Land,Unfurnished,Unknown,New,Rent,XXL,None,: ,70148736,I70148736,3333.0,8.111928063310739,415450000.0,5701.5,: ,Land,,30.0,8000.0
3.0,15.0,0,0,12.0,0.06666666666666667,,2080.0,17.407369,78.388221,8000.0,150.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,67722344,M67722344,10169.0,9.227197489042606,21150000.000000004,2080.0,: ,Apartment,7050000.000000001,150.0,8000.0
4.0,0.0,0,0,8.0,,,2906.0,17.574527971682,78.409721132955,8000.0,90.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,69323950,B69323950,10000.0,9.210440366976517,29100000.0,2906.0,: ,Villa,7275000.0,90.0,8000.0
3.0,0.0,0,0,8.0,,,2318.0,17.574527971682,78.409721132955,8000.0,90.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,69323942,D69323942,10000.0,9.210440366976517,23200000.0,2318.0,: ,Villa,7733333.333333333,90.0,8000.0
3.0,10.0,0,0,8.0,0.1,,1982.5,17.465647,78.281099,8000.0,90.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,69322784,Q69322784,7000.0,8.853808274977197,13850000.0,1982.5,: ,Apartment,4616666.666666667,90.0,8000.0
2.0,10.0,0,0,8.0,0.1,,1265.0,17.465647,78.281099,8000.0,90.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69322780,X69322780,7000.0,8.853808274977197,8855000.0,1265.0,: ,Apartment,4427500.0,90.0,8000.0
4.0,36.0,0,0,8.0,0.027777777777777776,,3242.0,17.405194457603,78.323755488063,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,69626392,N69626392,7711.0,8.950532836290382,25000000.0,3242.0,: ,Apartment,6250000.0,60.0,8000.0
3.0,20.0,0,0,50.0,0.05,,1895.0,17.472142,78.3018314,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,69552350,E69552350,6329.0,8.753055515138222,5000000.0,1895.0,: ,Apartment,1666666.6666666667,60.0,8000.0
3.0,5.0,0,0,9.0,0.2,,1470.0,17.42469,78.66677,8000.0,120.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,68335434,I68335434,6299.0,8.748304912379623,9260000.0,1470.0,: ,Apartment,3086666.6666666665,120.0,8000.0
2.0,5.0,0,0,9.0,0.2,,1145.0,17.42469,78.66677,8000.0,120.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Small,None,: ,68335432,D68335432,6299.0,8.748304912379623,7212000.0,1145.0,: ,Apartment,3606000.0,120.0,8000.0
,0.0,0,0,15.0,,,19201.5,17.25956,78.42155,8000.0,5.0,0,1,1,0,1,0,1,0,0,Land,Unfurnished,Unknown,New,Rent,XXL,None,: ,70928452,Q70928452,5334.0,8.582044163735853,102400000.0,19201.5,: ,Land,,5.0,8000.0
2.0,9.0,0,0,12.0,0.1111111111111111,,1197.5,17.3828053,78.3437872,8000.0,21.0,1,0,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Very_Old,Rent,Small,None,: ,70559284,U70559284,7500.0,8.922791623969637,8981500.0,1197.5,: ,Apartment,4490750.0,21.0,8000.0
3.0,10.0,0,0,8.0,0.1,,1811.0,17.499849529617,78.345307402043,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,70402394,K70402394,6500.0,8.77971129020447,11800000.000000002,1811.0,: ,Apartment,3933333.333333334,30.0,8000.0
2.0,10.0,0,0,8.0,0.1,,1410.0,17.499849529617,78.345307402043,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,70402392,D70402392,6500.0,8.77971129020447,392050000.0,1410.0,: ,Apartment,196025000.0,30.0,8000.0
,0.0,0,0,22.0,,,2550.5,17.071864861221,78.209701925687,8000.0,30.0,0,1,1,0,1,0,1,0,0,Land,Unfurnished,Unknown,New,Rent,XL,None,: ,70030738,T70030738,1999.0,7.600902459542082,5102000.0,2550.5,: ,Land,,30.0,8000.0
3.0,7.0,0,0,10.0,0.14285714285714285,,1660.0,17.500211,78.556387,8000.0,60.0,1,0,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Very_Old,Rent,Medium,None,: ,69627442,V69627442,4500.0,8.412054873292933,7469499.999999999,1660.0,: ,Apartment,2489833.333333333,60.0,8000.0
3.0,30.0,0,0,12.0,0.03333333333333333,,2152.5,17.3849661,78.3265056,8000.0,7.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,70836180,N70836180,8699.0,9.071078304642676,18750000.0,2152.5,: ,Apartment,6250000.0,7.0,8000.0
10.0,5.0,14,17,50.0,1.0,1.0,125.0,17.3964311,78.4815879,96.0,3.0,0,0,0,0,0,0,1,1,0,Serviced_Apt,Semi_Furnished,South,Resale_Very_Old,Unknown,Micro,1,Hyderguda,70975980,F70975980,96.0,4.574710978503383,1200000000.0,125.0,Hyderguda,Serviced_Apt,120000000.0,3.0,96.0
,0.0,0,0,6.0,,,5343.5,17.632159784771,77.895469860129,8000.0,7.0,0,1,1,0,1,0,1,0,0,Land,Unfurnished,Unknown,New,Rent,XXL,None,: ,70893942,E70893942,2000.0,7.601402334583733,156700000.0,5343.5,: ,Land,,7.0,8000.0
3.0,14.0,0,0,10.0,0.07142857142857142,,1972.5,17.447657,78.250427,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,70049946,Y70049946,5499.0,8.612503371220562,396000000.0,1972.5,: ,Apartment,132000000.0,30.0,8000.0
2.0,14.0,0,0,10.0,0.07142857142857142,,1385.0,17.447657,78.250427,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,70049944,T70049944,5499.0,8.612503371220562,7616000.0,1385.0,: ,Apartment,3808000.0,30.0,8000.0
3.0,0.0,0,0,10.0,,,2685.0,17.16648,78.45784,8000.0,60.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,69481764,K69481764,6699.0,8.809862805379057,18000000.0,2685.0,: ,Villa,6000000.0,60.0,8000.0
